date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2/9/19,AAPL,2/22/19,187.5,Call,0.08,0.11,0.2529,0.0296,0.008,-0.0207,0.0225,0.0019
2/9/19,AAPL,2/22/19,187.5,Put,16.95,17.45,0.2926,-0.9563,0.0115,-0.0265,0.0319,-0.0258
2/9/19,AAPL,2/22/19,195,Call,0.02,0.05,0.2818,0.0082,0.0024,-0.0077,0.0075,0.0005
2/9/19,AAPL,2/22/19,195,Put,24.35,24.95,0.334,-0.9875,0.0051,-0.0093,0.0114,-0.0116
2/9/19,AAPL,3/8/19,187.5,Call,0.32,0.36,0.2275,0.0729,0.0129,-0.0274,0.0653,0.0093
2/9/19,AAPL,3/8/19,187.5,Put,17,17.25,0.2015,-0.9726,0.0123,-0.0071,0.0337,-0.024
2/9/19,AAPL,3/8/19,195,Call,0.11,0.14,0.2476,0.0285,0.0056,-0.0139,0.0308,0.0036
2/9/19,AAPL,3/8/19,195,Put,24.35,24.65,0.2476,-0.9922,0.006,-0.0028,0.013,-0.0053
2/9/19,AAPL,3/29/19,187.5,Call,0.88,0.96,0.2211,0.1364,0.0158,-0.0324,0.1364,0.0299
2/9/19,AAPL,3/29/19,187.5,Put,17.3,17.6,0.2091,-0.8999,0.017,-0.0174,0.1105,-0.0922
2/9/19,AAPL,3/29/19,195,Call,0.34,0.39,0.2265,0.0616,0.0086,-0.0183,0.0759,0.0136
2/9/19,AAPL,3/29/19,195,Put,24.4,24.7,0.2265,-0.966,0.0101,-0.007,0.0506,-0.0445
2/16/19,AAPL,3/1/19,187.5,Call,0.05,0.07,0.2349,0.021,0.0064,-0.0144,0.0169,0.0014
2/16/19,AAPL,3/1/19,187.5,Put,17.05,17.3,0.2873,-0.9599,0.0111,-0.0241,0.0312,-0.0245
2/16/19,AAPL,3/1/19,195,Call,0.01,0.03,0.2478,0.0031,0.0012,-0.0028,0.0032,0.0002
2/16/19,AAPL,3/1/19,195,Put,24.5,24.75,0.2964,-0.9997,0.0013,0,0.0006,0
2/16/19,AAPL,3/15/19,185,Call,0.32,0.37,0.2031,0.0811,0.0157,-0.0267,0.0708,0.0103
2/16/19,AAPL,3/15/19,185,Put,14.65,14.9,0.2113,-0.9265,0.0175,-0.0192,0.0697,-0.0511
2/16/19,AAPL,3/15/19,195,Call,0.07,0.12,0.2371,0.0232,0.0049,-0.0113,0.0259,0.003
2/16/19,AAPL,3/15/19,195,Put,24.55,24.75,0.2784,-0.9693,0.0081,-0.0118,0.0347,-0.034
2/16/19,AAPL,4/18/19,185,Call,1.43,1.48,0.2071,0.1905,0.0188,-0.0344,0.1893,0.0518
2/16/19,AAPL,4/18/19,185,Put,15.35,15.6,0.2079,-0.8286,0.0202,-0.0235,0.1784,-0.136
2/16/19,AAPL,4/18/19,195,Call,0.42,0.46,0.2102,0.0702,0.0092,-0.017,0.0937,0.0192
2/16/19,AAPL,4/18/19,195,Put,24.6,24.85,0.2232,-0.9463,0.0113,-0.0091,0.0789,-0.0744
2/23/19,AAPL,3/8/19,185,Call,0.12,0.14,0.1999,0.0471,0.0145,-0.0243,0.0333,0.0031
2/23/19,AAPL,3/8/19,185,Put,12,12.55,0.2514,-0.9152,0.0202,-0.0406,0.0538,-0.0328
2/23/19,AAPL,3/8/19,190,Call,0.04,0.07,0.228,0.0197,0.0062,-0.0134,0.0162,0.0013
2/23/19,AAPL,3/8/19,190,Put,16.9,17.5,0.3053,-0.9441,0.0125,-0.0353,0.0394,-0.0299
2/23/19,AAPL,3/8/19,200,Call,0.01,0.02,0.228,0.0007,0.0003,-0.0006,0.0008,0
2/23/19,AAPL,3/8/19,200,Put,26.75,27.5,0.3053,-1,0.0001,0,0,0
